0,David Michael ,Wojnarowicz,1,USA,USA,1992-07-22,1954-09-14,White,
1,William Erwin,Eisner,1,USA,USA,2005-01-03,1917-03-06,White,"Will Eisner Maxwell, Will Eisner"
2,Yoshiro,Tatsumi,1,Japan,Japan,2015-03-07,1935-06-30,Asian,
3,Alan,Moore,1,UK,UK,,1953-11-18,White,
4,Jim,Henson,1,USA,USA,1990-05-16,1936-09-24,White,
5,Jerome Ravn ,Juhl,1,USA,USA,2005-09-26,1938-07-27,White,Jerry Juhl
6,Alex,Ross,1,USA,USA,,1970-01-22,White,
7,Jim,Krueger,1,USA,USA,,1966-01-01,White,
8,Brian Michael,Bendis,1,USA,USA,,1967-08-18,White,
9,Katsuhiro,Otomo,1,Japan,Japan,,1954-04-14,Asian,
10,Gene Luen,Yang,1,USA,USA,,1973-08-09,Asian,
11,Harvey Lawrence ,Pekar,1,USA,USA,2010-07-12,1939-10-08,White,
12,Alissa,Torres,0,USA,USA,,,White,
13,David,Mazzucchelli,1,USA,USA,,1960-09-21,Unknown,
14,Michael Joseph,Mignola,1,USA,USA,,1960-09-16,White,Mike Mignola
16,Keiji,Nakazawa,1,Japan,Japan,2012-12-19,1939-03-14,Asian,
19,Christopher S. ,Claremont,1,UK,UK,,1950-11-25,White,Chris Claremont
21,Joseph,Loeb III,1,USA,USA,,1958-01-29,White,Jeph
22,Frank,Miller,1,USA,USA,,1957-01-27,White,
23,Evan,Dorkin,1,USA,USA,,1965-04-20,White,
24,Stephen L.,Stern,1,USA,USA,,,White,
25,Adrian,Tomine,1,USA,USA,,1974-05-31,Asian,
26,Dave Chester,Gibbons,1,UK,UK,,1949-04-14,White,
27,Alarcón,Daniel,1,Peru,USA,,1977-01-01,Hispanic Origin,
28,Alejandro  ,Jodorowsky Prullansky,1,Chile,France,,1929-02-17,White,Alejandro Jodorowsky
29,Alfonso,Zapico,1,Spain,France,,1981-01-01,White,
30,Alison,Bechdel,0,USA,USA,,1960-09-10,White,
31,Apostolos K.,Doxiadis,1,Australia,Greece,,1953-06-06,White,
32,Christos,Papadimitriou,1,Greece,USA,,1949-08-16,White,
33,Art,Spiegelman,1,Sweden,USA,,1948-02-15,White,
34,Ben,Katchor,1,USA,USA,,1951-11-19,White,
35,William ,Willingham,1,USA,USA,,1956-01-01,White,Bill Willingham
36,Brandon,Graham,1,USA,USA,,1976-01-01,White,
37,Brian,Fies,1,,,,,Unknown,
38,Bryan,Talbot,1,UK,UK,,1952-02-24,White,
40,Charles,Burns,1,USA,USA,,1955-09-27,White,
41,Chester William David ,Brown,1,Canada,Canada,,1960-05-16,White,
42,Franklin Christenson ,Ware,1,USA,USA,,1967-12-28,White,Chris Ware
43,Craig Matthew ,Thompson,1,USA,USA,,1975-09-21,White,
44,Cullen,Bunn,1,USA,USA,,1971-01-01,White,
45,Daniel Gillespie ,Clowes,1,USA,USA,,1961-04-14,White,
46,Darwyn,Cooke,1,Canada,Canada,2016-05-14,1962-11-16,White,
47,David,McKean,1,UK,UK,,1963-12-29,White,Dave McKean
49,Pierre-François ,Beauchard ,1,France,France,,1955-07-29,White,David B.
50,Derek Kirk,Kim,1,South Korea,USA,,1974-01-01,Asian,
53,Dylan,Horrocks,1,New Zealand,New Zealand,,1966-10-06,White,
55,Edie,Fake,1,USA,USA,,1980-01-01,White,
56,Ellen,Forney,0,USA,USA,,1968-03-08,White,
57,Emmanuel,Guibert,1,France,France,,1964-01-01,White,
61,Gwendolyn Willow ,Wilson,0,USA,USA,,1982-08-31,White, G. Willow Wilson
62,M. Kutlukhan ,Perker,1,Turkey,USA,,1972-11-02,White,M. K. Perker
63,Gabriel,Bá ,1,Brazil,Brazil,,1976-06-05,Hispanic Origin,
64,Garth,Ennis,1,UK,UK,,1970-01-16,White,
65,John,McCrea,1,UK,UK,,1966-01-01,White,
67,George Raymond,Martin,1,USA,USA,,1948-09-20,White,"George R. R. Martin, GRRM"
68,Ben,Avery,1,USA,USA,,,White,
69,Gilbert,Hernández ,1,USA,USA,,1957-02-01,Other Race,"Gilbert Hernandez, Beto"
70,Guy,Delisle,1,Canada,France,,1966-01-19,White,
71,Joyce,Brabner,0,USA,USA,,1952-03-01,White,
72,Howard,Cruse,1,USA,USA,,1944-05-02,White,
73,Jason,Lutes,1,USA,USA,,1967-12-07,White,
74,Jean-Philippe,Stassen,1,Belgium,Rwanda,,1966-03-14,White,
75,Jeff,Lemire,1,Canada,Canada,,1976-03-21,White,
76,Jeff,Smith,1,USA,USA,,1960-02-27,White,
78,James P.,Starlin,1,USA,USA,,1949-10-09,White,"Jim Starlin, Steve Apollo"
79,Joseph,Kubert,1,Poland,USA,2012-08-12,1926-09-18,White,Joe Kubert
80,Joe,Sacco,1,Malta,USA,,1960-10-02,White,
81,John,Lewis,1,USA,USA,,1940-02-21,African American,
82,Judd,Winick,1,USA,USA,,1970-02-12,White,
83,Kazuo,Koike,1,Japan,Japan,,1936-05-08,Asian,
85,Kim,Deitch,1,USA,USA,,1944-05-21,White,Fowlton Means
86,Kyle John ,Baker,1,USA,USA,,1965-01-01,African American,
87,Lance,Tooks,1,USA,USA,,,African American,
88,Leela,Corman,0,,USA,,1976-01-01,Unknown,
89,Lila Quintero,Weaver,0,Argentina,USA,,1955-01-01,Hispanic Origin,
90,Linda,Medley,0,USA,USA,,1964-05-17,White,
95,Lynda,Barry,0,USA,USA,,1956-01-02,Other Race,
96,Mariko,Tamaki,0,Canada,Canada,,1975-01-01,Other Race,
97,Marisa Acocella,Marchetto,0,USA,USA,,1962-01-01,White,
98,Marjane,Satrapi,0,Iran,France,,1969-11-22,Asian,
99,Mark,Kalesniko,1,Canada,USA,,,White,
100,Mark,Millar,1,UK,UK,,1969-12-24,White,
103,Michael Nicoll,Yahgulanaas,1,Canada,Canada,,1954-01-01,Native American,
104,Michel,Rabagliati,1,Canada,Canada,,1961-09-07,White,
107,Nate,Powell,1,USA,USA,,1978-01-01,White,
108,Neil Richard MacKinnon,Gaiman,1,UK,USA,,1960-11-10,White,
110,John,Bolton,1,UK,UK,,1951-05-23,White,
111,Scott,Hampton,1,USA,USA,,1959-04-10,White,
112,Charles,Vess,1,USA,USA,,1951-06-10,White,
113,Osamu,Tezuka,1,Japan,Japan,1989-02-09,1928-11-03,Asian,
115,Paul Benjamin ,Auster,1,USA,USA,,1947-02-03,White,"Paul Queen, Paul Benjamin"
116,Paul,Hornschemeier,1,USA,USA,,1977-10-27,White,
117,Rosemary Elizabeth,Simmonds,0,UK,UK,,1945-08-09,White,Posy Simmonds
119,Rick,Geary,1,USA,USA,,1946-02-25,White,
120,Robert Dennis,Crumb,1,USA,USA,,1943-08-30,White,R. Crumb
121,Rosalind,Chast,0,USA,USA,,1954-11-26,White,Roz Chast
122,Rutu,Modan,0,Israel,Israel,,1966-01-01,White,
123,Sarah,Glidden,0,USA,USA,,1980-06-16,White,
124,Sarnath,Banerjee,1,India,India,,1972-01-01,Asian,
125,Gregory ,Gallant,1,Canada,Canada,,1962-09-16,White,Seth
126,Shaun,Tan,1,Australia,Australia,,1974-01-01,White,
127,Shigeru,Mizuki,1,Japan,Japan,2015-11-30,1922-03-08,Asian,
128,Stephen,Murphy,1,USA,USA,,1980-11-03,Unknown,Dean Clarrain
129,Steven T.,Seagle,1,USA,USA,,1965-03-31,White,
130,Sydney,Padua,0,,,,,White,
133,Mike W.,Barr,1,USA,USA,,1952-05-30,White,Mike Barr
135,David Victor,Sim,1,Canada,Canada,,1956-05-17,White,Dave Sim
136,James,Vance,1,USA,USA,2017-06-05,1953-04-02,White,
137,Jules Ralph,Feiffer,1,USA,USA,,1929-01-26,White,
138,Paul,Pope,1,USA,USA,,1970-09-26,White,
139,David,Lloyd,1,UK,UK,,1950-05-05,White,
140,Peter,Gross,1,USA,USA,,1958-01-01,White,
141,Gene,Ha,1,USA,USA,,1969-08-19,Asian,
142,Alexander ,Cannon,1,USA,USA,,1972-11-01,White,Zander Cannon
144,Ellie ,DeVille ,0,UK,,,,Unknown,
145,Mike S. ,Miller,1,USA,USA,,1971-01-01,Unknown,
147,Mike ,Dringenberg,1,France,USA,,1965-01-01,White,
148,Malcolm ,Jones III,1,USA,USA,1996-01-01,1959-01-01,African American,
149,Michael ,Zulli,1,USA,USA,,,White,
150,George  ,Perez,1,USA,USA,,1954-06-09,White,
