21,SC,,0,English,1,64,"Seattle, USA",Fantagraphics,6.6 x 0.1 x 10.2 inches,1996-05-01,6.59999990463257,0.1,10.2,inches
23,HC,1 edition,0,English,1,68,"Seattle, USA",Vertigo,9.1 x 0.6 x 12.1 inches,2012-12-01,9.1,0.6,12.1,inches
24,SC,Reprint Edition,1,English,4,208,"New York, USA",W. W. Norton and Company,7.1 x 0.6 x 9.9 inches,2006-12-17,7.1,0.6,9.9,inches
25,SC,,2,English,1,843,"Montreal, Canada",Drawn and Quarterly,6.6 x 2.2 x 8.7 inches,2009-04-14,6.6,2.2,8.7,inches
26,HC,,3,English,1,104,"Rantoul, USA",Avatar Press,8.8 x 0.5 x 11.2 inches,2003-08-18,8.8,0.5,11.2,inches
27,SC,,3,English,1,104,"Rantoul, USA",Avatar Press,8.8 x 0.2 x 11 inches,2011-12-01,8.8,0.2,11.0,inches
28,HC,1st edition,4,English,1,153,"Los Angeles, USA",Archaia,8 x 0.8 x 12 inches,2011-12-27,8.0,0.8,12.0,inches
29,SC,,4,English,1,120,"Los Angeles, USA",Archaia,8.2 x 11 inches,2012-12-11,8.2,0.800000011920929,11.0,inches
30,HC,Slp edition,5,English,1,496,"New York, USA",DC Comics,8.6 x 1.6 x 12.8 inches,2009-11-17,8.6,1.6,12.8,inches
31,HC,First Edition,6,English,1,504,"New York, USA",Marvel,19.7 x 2.5 x 28.6 cm,2013-09-17,7.80000019073486,1.0,11.1999998092651,inches
32,SC,First Edition,6,English,1,288,"New York City, USA",Marvel,6.8 x 0.5 x 10.2 inches,2014-05-27,6.8,0.5,10.2,inches
33,SC,1st edition,7,English,1,363,"New York, USA",Kodansha Comics,7 x 1.1 x 9.9 inches,2009-10-13,7.0,1.1,9.9,inches
34,SC,Reprint Edition,8,English,2,233,"New York, USA",First Second,5.5 x 0.5 x 8.2 inches,2006-12-23,5.5,0.5,8.2,inches
35,HC,,8,English,2,240,"New York City, USA",First Second,6.4 x 0.9 x 8.7 inches,2007-01-01,6.4,0.9,8.7,inches
37,HC,Gph edition,10,English,,209,"New York, USA",Villard,7.3 x 0.8 x 9.6 inches,2008-09-09,7.3,0.8,9.6,inches
38,HC,First Edition,11,English,,344,"New York City, USA",Pantheon,8 x 1.2 x 10.5 inches,2009-07-07,8.0,1.2,10.5,inches
41,SC,First Edition,13,English,1,284,"San Francisco, USA",Last Gasp,6 x 0.8 x 8 inches,2004-09-01,6.0,0.8,8.0,inches
44,SC,New edition,15,English,1,400,"New York, USA",DC Comics,6.6 x 0.5 x 10.2 inches,2014-02-18,6.6,0.5,10.2,inches
45,SC,,16,English,4,224,"New York, USA",DC Comics,6.6 x 0.4 x 10.2 inches,2002-12-01,6.6,0.4,10.2,inches
48,SC,,18,English,2,384,"New York, USA",DC Comics,6.6 x 0.6 x 10.2 inches,2011-10-11,6.6,0.6,10.2,inches
49,SC,De Luxe edition,19,English,1,96,"New York, USA",DC Comics,6.7 x 0.3 x 10.2 inches,2007-01-10,6.7,0.3,10.2,inches
50,HC,1st edition,19,English,1,96,"New York, USA",DC Comics,10.3 x 6.9 x 0.7 inches,1988-01-01,6.90000009536743,0.699999988079071,10.3000001907349,inches
51,HC,1St Edition edition,20,English,1,168,"Milwaukee, USA",Dark Horse,8 x 0.8 x 11.3 inches,2010-07-06,8.0,0.8,11.3,inches
52,SC,1st Printing edition,21,English,1,66,"Stevenage, UK",Markosia Enterprises Ltd,6.7 x 0.2 x 9.6 inches,2007-10-01,6.7,0.2,9.6,inches
53,SC,1st edition,22,English,1,210,"Montreal, Canada",Drawn and Quarterly,7.5 x 0.7 x 10 inches,2008-09-16,7.5,0.7,10.0,inches
54,SC,1st edition,23,English,1,209,"Montreal, Canada",Drawn and Quarterly,7.4 x 0.8 x 9.3 inches,2000-06-01,7.4,0.8,9.3,inches
55,HC,,24,English,4,352,"New York City, USA",Pantheon,6.9 x 1.5 x 9.5 inches,2005-10-18,6.9,1.5,9.5,inches
56,SC,Reprint edition,24,English,4,368,"New York City, USA",Pantheon,6.6 x 1.3 x 9.3 inches,2008-01-08,6.6,1.3,9.3,inches
57,SC,,158,English,3,592,"Marietta, USA",Top Shelf Productions,6.5 x 1.5 x 9.8 inches,2003-08-05,6.5,1.5,9.8,inches
58,HC,New edition,158,English,3,592,"Marietta, USA",Top Shelf Productions,1.8 x 7.2 x 9 inches,2011-08-23,7.19999980926514,1.79999995231628,9.0,inches
59,HC,1st edition,25,English,1,400,"New York City, USA",Vertical,6.2 x 1.3 x 8 inches,2003-10-01,6.2,1.3,8.0,inches
60,SC,1st edition,25,English,1,400,"New York City, USA",Vertical,6 x 1.2 x 8 inches,2006-05-02,6.0,1.2,8.0,inches
62,HC,Box Pck edition,26,English,2,260,"New York City, USA",Pantheon,11.7 x 1.9 x 16.6 inches,2012-10-02,11.7,1.9,16.6,inches
63,SC,,27,English,1,496,"Milwaukee, USA",Dark Horse,8.6 x 1.3 x 11.2 inches,2010-08-25,8.6,1.3,11.2,inches
64,HC,,27,English,1,496,"New York City, USA",NBM Publishing,11.5 x 8.8 x 1.4 inches,2002-04-01,8.80000019073486,1.39999997615814,11.5,inches
65,SC,,28,English,1,160,"New York, USA",Vertigo,6.9 x 0.4 x 9 inches,2008-10-07,6.9,0.4,9.0,inches
66,HC,,28,English,1,160,"New York City, USA",Vertigo,7.2 x 0.6 x 9.4 inches,2007-11-07,7.2,0.6,9.4,inches
67,SC,Reprint edition,30,English,1,210,"New York City, USA",Pantheon,,2009-09-29,7.59999990463257,0.600000023841858,8.0,inches
68,HC,1 edition,30,English,1,224,"New York City, USA",Knopf,,2006-09-26,7.80000019073486,0.800000011920929,8.19999980926514,inches
69,HC,First Edition edition,29,English,1,228,"New York, USA",Bloomsbury USA,7.7 x 0.9 x 9.5 inches,2014-05-06,7.7,0.9,9.5,inches
70,SC,,31,English,1,224,"Marietta, USA",Top Shelf Productions,0.8 x 5.5 x 7.5 inches,2004-08-03,5.5,0.800000011920929,7.5,inches
71,HC,1 edition,32,English,1,464,"Seattle, USA",Fantagraphics,5.9 x 1.6 x 8.3 inches,2013-05-17,5.9,1.6,8.3,inches
74,SC,Reprint edition,34,English,1,144,"New York, USA",Picador,5.5 x 0.3 x 8.2 inches,2004-08-01,5.5,0.3,8.2,inches
75,SC,"1ª ed, 1ª imp edition",35,Spanish,1,144,"Madrid, Spain",Alfaguara,6.2 x 0.4 x 8.5 inches,2011-02-15,6.2,0.4,8.5,inches
76,HC,"1ª ed, 1ª imp edition",35,Spanish,1,144,"Madrid, Spain",Alfaguara,6.1 x 0.4 x 8.5 inches,2012-04-11,6.1,0.4,8.5,inches
77,HC,,36,English,2,512,"New York, USA",Marvel,,2008-11-26,7.59999990463257,1.10000002384186,11.1999998092651,inches
